disk_usage_percent,temperature,read_error_rate,write_error_rate,reallocated_sector_count,pending_sector_count,power_on_hours,label
39,51,30,46,132,126,3659,1
78,64,27,32,35,119,44281,1
62,53,31,44,88,62,16953,1
33,27,43,29,43,78,23446,1
37,54,28,19,86,122,36641,1
21,48,23,19,135,182,30979,1
28,50,19,17,101,6,39943,0
56,40,8,6,95,199,9539,1
61,44,47,10,85,171,3020,1
48,33,41,26,115,85,931,1
83,53,36,21,32,40,9097,0
83,38,13,6,135,177,284,1
89,68,43,11,40,163,26004,1
67,57,4,4,70,131,11703,1
57,29,40,49,178,134,45294,1
34,35,9,36,117,185,49867,1
45,69,39,29,108,30,20553,0
97,64,0,48,186,190,20559,1
79,41,38,45,11,101,32049,1
73,63,13,21,179,27,32569,0
53,53,21,17,193,111,27222,1
31,68,14,4,151,102,45957,0
11,46,46,10,75,6,16198,0
46,30,6,41,167,134,13650,1
84,26,18,22,12,198,22995,1
95,39,21,1,140,154,21054,1
55,46,2,28,137,31,21486,0
31,50,1,5,167,74,13184,0
41,56,28,38,73,1,20485,0
34,44,18,3,180,95,30569,0
28,29,47,13,175,91,16073,1
74,39,32,9,109,147,20387,1
79,28,0,0,73,119,48844,0
23,57,24,12,151,178,15875,1
73,38,46,28,150,168,49935,1
62,38,13,31,118,86,41261,1
31,58,37,5,83,198,19518,1
55,29,0,15,55,68,20011,0
15,62,21,47,192,26,30740,0
65,35,39,46,112,158,35911,1
81,42,4,49,114,167,27953,1
41,35,18,45,102,46,4132,0
15,65,40,15,55,33,42485,0
90,64,15,3,90,42,13717,0
28,41,36,6,196,187,8189,1
40,65,4,6,176,191,11208,1
54,68,15,47,116,7,17320,0
26,66,34,33,72,123,12019,1
67,32,6,21,162,6,17929,0
40,26,6,0,162,64,24502,0
44,58,45,0,42,45,27761,0
63,52,35,47,105,122,9152,1
94,50,41,5,104,79,38221,1
89,34,47,25,118,36,17315,0
62,66,35,19,86,88,15198,1
96,61,39,0,82,199,31375,1
60,29,44,33,72,51,27925,1
40,66,33,4,102,78,17206,0
27,30,16,16,139,44,11932,0
35,50,3,27,58,60,19170,0
12,29,5,42,150,170,19116,1
25,43,0,19,192,95,4497,0
53,51,2,2,198,11,42236,0
50,62,39,4,173,179,34061,1
39,33,38,14,93,20,1403,0
69,29,32,23,22,123,47720,1
87,27,0,36,39,168,2167,1
43,67,19,28,176,199,30238,1
87,35,24,38,169,54,49221,0
57,62,6,29,124,69,12392,0
19,69,39,42,21,19,1043,0
46,34,5,49,38,53,25896,0
39,60,35,22,43,36,32095,0
28,45,23,41,121,101,13950,1
47,34,26,39,68,34,5375,0
68,44,22,17,77,47,28704,0
81,45,40,37,108,83,31674,1
94,66,30,4,167,90,17994,1
58,43,42,12,81,42,23491,0
27,43,8,32,160,48,9080,0
36,28,43,13,71,165,36727,1
94,41,43,34,69,37,6012,0
24,44,46,39,118,99,4637,1
53,66,44,20,174,54,8452,0
18,65,32,38,8,23,37543,0
51,45,42,23,69,124,21977,1
44,38,48,16,44,32,35490,0
44,47,21,36,60,32,40980,0
36,40,49,24,185,170,26607,1
90,65,8,7,183,138,14706,1
54,45,22,40,163,124,49201,1
56,30,23,19,135,113,17537,1
87,28,10,15,48,9,6594,0
44,51,16,23,25,148,36562,1
67,31,11,19,5,24,7092,0
90,49,42,46,58,59,20089,1
29,53,44,25,89,5,39753,0
98,63,22,18,192,164,2050,1
31,47,16,14,59,119,28598,1
18,36,7,6,130,29,3641,0
79,40,26,10,101,29,44071,0
85,31,33,46,4,89,42250,1
82,28,5,2,175,42,17327,0
81,58,29,8,78,54,30151,0
78,34,11,9,173,9,10329,0
53,67,36,33,71,129,5680,1
90,61,1,44,50,69,40563,0
59,50,6,30,26,48,32486,0
63,63,5,9,66,135,24926,1
55,67,36,40,181,155,11800,1
74,59,47,48,83,97,13408,1
51,31,14,43,18,198,20740,1
81,30,42,5,114,115,49382,1
